,identifier,author_all,title,year,journal,nSyllabi,nCites,category
1,10.2307/20299732,"Dunning, Thad",Improving Causal Inference: Strengths and Limitations of Natural Experiments,2008,Political Research Quarterly,1,253,
2,10.2307/2291629,"Angrist, Joshua D.; Imbens, Guido W.; Rubin, Donald B.",Identification of Causal Effects Using Instrumental Variables,1996,Journal of the American Statistical Association,1,4505,
3,abadie2003semiparametric,"Abadie, Alberto",Semiparametric instrumental variable estimation of treatment response models,2003,Journal of econometrics,1,539,
4,abadie2005semiparametric,"Abadie, Alberto",Semiparametric difference-in-differences estimators,2005,The Review of Economic Studies,1,1115,
5,abadie2010synthetic,"Abadie, Alberto; Diamond, Alexis; Hainmueller, Jens",Synthetic control methods for comparative case studies: Estimating the effect of California's tobacco control program,2010,Journal of the American statistical Association,1,1584,
6,abbott2011can,"Abbott, Rob; Walker, Marilyn; Anand, Pranav; Fox Tree, Jean E.; Bowmani, Robeson; King, Joseph",How can you say such things?!?: Recognizing disagreement in informal political argument,2011,,1,82,
7,acemoglu2008income,"Acemoglu, Daron; Johnson, Simon; Robinson, James A.; Yared, Pierre",Income and democracy,2008,American Economic Review,1,1248,
8,acemoglu2010political,"Acemoglu, Daron; Egorov, Georgy; Sonin, Konstantin",Political selection and persistence of bad governments,2010,The Quarterly Journal of Economics,1,79,
9,achen2002toward,"Achen, Christopher H.",Toward a new political methodology: Microfoundations and ART,2002,Annual Review of Political Science,1,536,
10,acton2014straight,"Acton, Eric K.; Potts, Christopher",That straight talk: Sarah Palin and the sociolinguistics of demonstratives,2014,Journal of Sociolinguistics,1,42,
11,adcock2001measurement,"Adcock, Robert",Measurement validity: A shared standard for qualitative and quantitative research,2001,American political science review,1,1285,
12,aggarwal2012introduction,"Aggarwal, Charu C.; Zhai, ChengXiang",An introduction to text mining,2012,,1,45,
13,aggarwal2012mining,"Aggarwal, Charu C.; Zhai, ChengXiang",Mining text data,2012,,3,620,1
14,aggarwal2012survey,"Aggarwal, Charu C.; Zhai, ChengXiang",A survey of text classification algorithms,2012,,2,363,
15,agresti1970statistical,"Agresti, Alan; Agresti, Barbara F.",Statistical Methods for the,1970,Social Sciences. CA: Dellen Publishers,1,3335,
16,airoldi2007whose,"Airoldi, Edoardo M.; Fienberg, Stephen E.; Skinner, Kiron K.",Whose ideas? Whose words? Authorship of Ronald Reagan's radio addresses,2007,PS: Political Science \& Politics,1,16,
17,airoldi2008mixed,"Airoldi, Edoardo M.; Blei, David M.; Fienberg, Stephen E.; Xing, Eric P.",Mixed membership stochastic blockmodels,2008,Journal of Machine Learning Research,1,1376,
18,akhtar2005women,"Akhtar, Parveen; Fawcett, Paul; Legrand, Tim; Marsh, David; Taylor, Chloe",Women in the political science profession,2005,European political science,1,14,
19,aklin2014global,"Aklin, Michael; Urpelainen, Johannes",The global spread of environmental ministries: Domestic--international interactions,2014,International Studies Quarterly,1,14,
20,albaugh2013automated,"Albaugh, Quinn; Sevenans, Julie; Soroka, Stuart; Loewen, Peter John",The automated coding of policy agendas: A dictionary-based approach,2013,,1,13,
21,aldrich1977method,"Aldrich, John H.; McKelvey, Richard D.",A Method of Scaling with Applications to the 1968 and 1972 Presidential Elections,1977,American Political Science Review,1,270,
22,alexa2000text,"Alexa, Melina; Zuell, Cornelia","Text analysis software: Commonalities, differences and limitations: The results of a review",2000,Quality and Quantity,1,108,
23,alfini2007words,"Alfini, Naomi; Chambers, Robert",Words count: taking a count of the changing language of British aid,2007,Development in Practice,1,19,
24,alker1987fairy,"Alker Jr, Hayward R.","Fairy tales, tragedies and world histories",1987,Behaviormetrika,1,38,
25,alker1988dialectical,"Alker, Hayward R.",The Dialectical Logic of Thucydides' Melian Dialogue,1988,American Political Science Review,1,73,
26,alker1994kuinka,"Alker, Hayward R.; Sylvan, David",Kuinka diskurssianalyysi voi edesauttaa politiikkatieteen kehittymista,1994,"Suomentanut Patomaki, Heikki. Kosmopolis",1,7,
27,allahyari2017brief,"Allahyari, Mehdi; Pouriyeh, Seyedamin; Assefi, Mehdi; Safaei, Saied; Trippe, Elizabeth D.; Gutierrez, Juan B.; Kochut, Krys","A brief survey of text mining: Classification, clustering and extraction techniques",2017,arXiv preprint arXiv:1707.02919,1,13,
28,allee2016wrote,"Allee, Todd; Lugg, Andrew",Who wrote the rules for the Trans-Pacific Partnership?,2016,Research \& Politics,1,25,
29,allen2008think,"Allen, D.",Think Python--How to think like a Computer Scientist,2008,,1,195,
30,allison2011quantitative,"Allison, Sarah Danielle; Heuser, Ryan; Jockers, Matthew Lee; Moretti, Franco; Witmore, Michael",Quantitative formalism: an experiment,2011,,2,67,
31,alvarez1995economics,"Alvarez, R.  Michael; Nagler, Jonathan","Economics, issues and the Perot candidacy: Voter choice in the 1992 presidential election",1995,American Journal of Political Science,1,432,
32,alvarez2016computational,"Alvarez, R.  Michael",Computational Social Science,2016,,1,16,
33,anastasopoulos2016photographic,"Anastasopoulos, L.  Jason; Badani, Dhruvil; Lee, Crystal; Ginosar, Shiry; Williams, Jake",Photographic home styles in Congress: a computer vision approach,2016,arXiv preprint arXiv:1611.09942,1,0,
34,anderson2008end,"Anderson, Chris",The end of theory: The data deluge makes the scientific method obsolete,2008,Wired magazine,1,1373,
